ADCMAX: 32767
kP: 1000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
336,0,3.00,0.052339,0.001526
670,2934,3.00,0.186468,0.007324
1005,5713,3.00,0.325022,0.017548
1340,8353,3.00,0.457625,0.031892
1676,10862,3.00,0.583514,0.050050
2012,13247,3.00,0.703146,0.072024
2347,15513,3.00,0.817743,0.097659
2682,17666,3.00,0.926084,0.126499
3017,19712,3.00,1.030305,0.158696
3354,21655,3.00,1.127049,0.193945
3688,23503,3.00,1.222114,0.232093
4025,25257,3.00,1.310923,0.273141
4360,26923,3.00,1.393628,0.316630
4696,28508,3.00,1.473586,0.362712
5032,30014,3.00,1.550340,0.411237
5370,31444,3.00,1.621906,0.461898
5707,32804,3.00,1.693625,0.514847
6043,34092,3.00,1.756798,0.569628
6380,35319,3.00,1.817835,0.626545
6717,36485,3.00,1.878414,0.685141
7053,37591,3.00,1.935942,0.745720
7390,38640,3.00,1.988891,0.807825
7726,39637,3.00,2.039705,0.871609
8062,40584,3.00,2.088076,0.936766
8398,41483,3.00,2.134007,1.003449
8734,42337,3.00,2.177648,1.071505
9071,43148,3.00,2.216254,1.140782
9408,43922,3.00,2.259743,1.211432
9745,44651,3.00,2.296060,1.283151
10082,45345,3.00,2.332835,1.356090
10420,46002,3.00,2.363964,1.429945
10758,46630,3.00,2.395703,1.504868
11094,47226,3.00,2.424848,1.579028
11431,47793,3.00,2.457198,1.649983
11769,48327,3.00,2.481460,1.717277
12105,48839,3.00,2.514420,1.781671
12442,49316,3.00,2.533036,1.842555
12778,49778,3.00,2.557604,1.900540
13113,50214,3.00,2.578814,1.955473
13451,50629,3.00,2.601093,2.007813
13788,51022,3.00,2.619556,2.057558
14125,51397,3.00,2.640156,2.104861
14462,51751,3.00,2.656331,2.149571
14800,52090,3.00,2.673574,2.192145
15138,52412,3.00,2.691275,2.232734
15476,52716,3.00,2.705161,2.271188
15814,53007,3.00,2.723167,2.307962
16152,53279,3.00,2.736137,2.342753
16490,53539,3.00,2.748955,2.375713
16827,53786,3.00,2.761925,2.407147
17165,54020,3.00,2.773370,2.436903
17503,54243,3.00,2.785882,2.465285
17841,54453,3.00,2.796564,2.492294
18179,54653,3.00,2.806787,2.517777
18515,54843,3.00,2.814875,2.542039
18853,55026,3.00,2.823572,2.564928
19190,55200,3.00,2.834101,2.586901
19528,55363,3.00,2.842036,2.607654
19866,55518,3.00,2.849971,2.627491
20203,55666,3.00,2.858669,2.646107
20541,55805,3.00,2.864315,2.663961
20879,55939,3.00,2.872707,2.680746
21215,56064,3.00,2.878048,2.696768
21552,56184,3.00,2.883999,2.712027
21889,56298,3.00,2.889035,2.726676
22226,56407,3.00,2.895901,2.740257
22563,56509,3.00,2.901395,2.753380
22901,56606,3.00,2.905515,2.765587
23239,56699,3.00,2.911466,2.777490
23576,56786,3.00,2.914212,2.788629
23914,56871,3.00,2.920316,2.799310
24252,56949,3.00,2.923368,2.809381
24588,57024,3.00,2.928861,2.818995
24925,57093,3.00,2.932523,2.828150
25261,57159,3.00,2.934050,2.836848
25597,57224,3.00,2.938169,2.845088
25935,57284,3.00,2.941374,2.852870
26273,57341,3.00,2.945189,2.860500
26611,57394,3.00,2.945952,2.867366
26949,57447,3.00,2.950224,2.874081
27287,57495,3.00,2.952055,2.880490
27625,57542,3.00,2.953886,2.886441
27962,57587,3.00,2.956328,2.892086
28300,57630,3.00,2.958159,2.897580
28638,57671,3.00,2.961058,2.902616
28976,57709,3.00,2.962889,2.907498
29314,57745,3.00,2.965178,2.912229
29650,57779,3.00,2.967162,2.916806
29988,57811,3.00,2.968535,2.920927
30327,57842,3.00,2.969909,2.924894
30663,57871,3.00,2.972503,2.928709
31000,57897,3.00,2.972655,2.932371
31339,57924,3.00,2.974792,2.935728
31675,57948,3.00,2.976012,2.939085
32013,57971,3.00,2.977081,2.942137
32351,57993,3.00,2.978301,2.945036
32688,58014,3.00,2.979675,2.947935
33027,58033,3.00,2.981658,2.950530
33362,58050,3.00,2.981048,2.953124
