ADCMAX: 131071
kP: 10000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
915,0,3.00,0.052338,0.001755
1937,29463,3.00,1.523983,0.049401
2959,43855,3.00,2.254389,0.119859
3980,51128,3.00,2.625981,0.201913
5003,51483,3.00,2.646009,0.284579
6025,51835,3.00,2.662717,0.367816
7046,52171,3.00,2.680570,0.451587
8067,52489,3.00,2.697011,0.535855
9088,52791,3.00,2.713873,0.620656
10108,53076,3.00,2.727796,0.705915
11130,53347,3.00,2.740728,0.791556
12155,53605,3.00,2.753317,0.877578
13176,53851,3.00,2.763121,0.963943
14200,54087,3.00,2.777807,1.050766
15223,54308,3.00,2.789175,1.137895
16246,54518,3.00,2.799399,1.225404
17269,54718,3.00,2.811263,1.313258
18293,54906,3.00,2.821486,1.401416
19316,55084,3.00,2.829802,1.489841
20339,55253,3.00,2.838462,1.578534
21362,55414,3.00,2.845786,1.667493
22385,55567,3.00,2.854254,1.756681
23410,55712,3.00,2.861083,1.846099
24435,55850,3.00,2.869971,1.935783
25458,55979,3.00,2.876876,2.025658
26481,56101,3.00,2.880576,2.115685
27505,56220,3.00,2.888206,2.205942
28530,56331,3.00,2.893623,2.296389
29553,56437,3.00,2.899268,2.386989
30578,56537,3.00,2.903693,2.477550
31603,56633,3.00,2.908576,2.568455
32629,56724,3.00,2.912887,2.659475
33654,56810,3.00,2.917732,2.749044
34678,56892,3.00,2.922080,2.792723
35703,56969,3.00,2.926620,2.813742
36729,57042,3.00,2.930549,2.823241
37752,57111,3.00,2.933639,2.832244
38778,57177,3.00,2.936843,2.840789
39802,57239,3.00,2.940162,2.848914
40826,57298,3.00,2.942718,2.856581
41851,57355,3.00,2.946456,2.863868
42876,57408,3.00,2.948554,2.870772
43902,57459,3.00,2.951148,2.877334
44926,57507,3.00,2.953514,2.883590
45953,57553,3.00,2.956222,2.889617
46979,57596,3.00,2.958244,2.895263
48004,57637,3.00,2.960228,2.900604
49030,57676,3.00,2.957481,2.905563
50053,57718,3.00,2.962784,2.910293
51079,57754,3.00,2.962593,2.914680
52103,57791,3.00,2.967971,2.918990
53128,57822,3.00,2.968315,2.923072
54154,57853,3.00,2.970985,2.926963
55180,57881,3.00,2.971328,2.930625
56206,57909,3.00,2.973999,2.934173
57229,57934,3.00,2.973579,2.937416
58253,57960,3.00,2.976326,2.940505
59279,57983,3.00,2.977470,2.943519
60305,58005,3.00,2.976745,2.946304
61330,58028,3.00,2.978386,2.948936
62354,58049,3.00,2.980674,2.951492
63379,58068,3.00,2.981056,2.953933
64405,58086,3.00,2.982620,2.956222
65429,58103,3.00,2.984566,2.958473
66455,58118,3.00,2.983688,2.960533
67481,58134,3.00,2.984756,2.962478
68507,58149,3.00,2.986282,2.964348
69530,58162,3.00,2.985939,2.966102
70556,58176,3.00,2.987160,2.967743
71582,58188,3.00,2.987732,2.969345
72608,58200,3.00,2.988876,2.970871
73632,58211,3.00,2.989563,2.972320
74658,58221,3.00,2.989868,2.973694
75681,58231,3.00,2.990250,2.974991
76705,58240,3.00,2.990288,2.976211
77730,58249,3.00,2.991013,2.977394
78756,58257,3.00,2.991585,2.978500
79779,58265,3.00,2.992577,2.979568
80805,58272,3.00,2.992157,2.980560
81829,58279,3.00,2.989639,2.981552
82855,58289,3.00,2.993263,2.982505
83879,58295,3.00,2.993683,2.983497
84904,58301,3.00,2.993645,2.984298
85929,58307,3.00,2.994904,2.985138
86955,58312,3.00,2.994522,2.985863
