ADCMAX: 131071
kP: 10000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
915,0,3.00,0.052338,0.001602
1936,29463,3.00,1.523640,0.049248
2957,43858,3.00,2.254847,0.119706
3979,51126,3.00,2.626172,0.201761
5001,54771,3.00,2.812712,0.289652
6021,55660,3.00,2.857764,0.378955
7043,56359,3.00,2.894729,0.469440
8066,56876,3.00,2.921470,0.560727
9089,57261,3.00,2.940162,0.652585
10112,57555,3.00,2.956299,0.744978
11133,57597,3.00,2.958473,0.837447
12155,57638,3.00,2.958969,0.929916
13179,57679,3.00,2.964042,1.022537
14201,57714,3.00,2.963279,1.115121
15225,57750,3.00,2.964157,1.207780
16247,57785,3.00,2.967819,1.300516
17268,57816,3.00,2.967285,1.393252
18292,57848,3.00,2.969116,1.486027
19315,57878,3.00,2.972892,1.578915
20339,57904,3.00,2.973350,1.671842
21363,57930,3.00,2.974685,1.764807
22386,57955,3.00,2.976021,1.857810
23410,57978,3.00,2.977127,1.950851
24435,58000,3.00,2.979301,2.043930
25457,58020,3.00,2.978691,2.137010
26481,58041,3.00,2.980369,2.230165
27504,58060,3.00,2.984795,2.323435
28527,58074,3.00,2.981857,2.416629
29551,58092,3.00,2.982086,2.509823
30576,58109,3.00,2.980980,2.602978
31602,58128,3.00,2.983421,2.696210
32628,58144,3.00,2.985100,2.789480
33653,58158,3.00,2.986740,2.881186
34677,58171,3.00,2.987312,2.926925
35703,58183,3.00,2.986778,2.949775
36727,58196,3.00,2.987007,2.961067
37751,58208,3.00,2.987694,2.966522
38777,58220,3.00,2.989944,2.970680
39803,58229,3.00,2.991241,2.973694
40826,58237,3.00,2.990555,2.975830
41852,58246,3.00,2.989296,2.977394
42876,58256,3.00,2.989449,2.978424
43902,58266,3.00,2.990631,2.979416
44925,58275,3.00,2.992882,2.980484
45950,58282,3.00,2.991089,2.981323
46977,58291,3.00,2.992996,2.982238
48003,58297,3.00,2.993034,2.983154
49028,58303,3.00,2.993568,2.983955
50052,58309,3.00,2.994217,2.984795
51078,58314,3.00,2.994026,2.985596
52102,58319,3.00,2.994904,2.986282
53128,58324,3.00,2.994789,2.986931
54152,58329,3.00,2.995514,2.987579
55177,58333,3.00,2.995361,2.988190
56202,58337,3.00,2.996506,2.988800
57228,58340,3.00,2.995857,2.989334
58253,58344,3.00,2.996468,2.989868
59277,58347,3.00,2.996811,2.990402
60302,58350,3.00,2.996544,2.990746
61328,58353,3.00,2.996124,2.991203
62353,58356,3.00,2.995666,2.991623
63378,58360,3.00,2.996620,2.992119
64403,58363,3.00,2.997765,2.992577
65427,58365,3.00,2.996811,2.992920
66452,58368,3.00,2.996811,2.993225
67477,58371,3.00,2.997955,2.993568
68501,58372,3.00,2.997192,2.993912
69525,58374,3.00,2.997307,2.994217
70550,58376,3.00,2.997803,2.994522
71575,58378,3.00,2.998222,2.994789
72601,58379,3.00,2.998451,2.995018
73625,58380,3.00,2.997726,2.995247
74651,58382,3.00,2.997993,2.995514
75676,58383,3.00,2.998947,2.995819
76702,58384,3.00,2.997421,2.996010
77726,58386,3.00,2.997574,2.996162
78750,58388,3.00,2.998299,2.996391
79775,58389,3.00,2.999252,2.996582
80801,58389,3.00,2.998985,2.996773
81826,58390,3.00,2.998528,2.996925
82849,58391,3.00,2.998642,2.997078
83875,58392,3.00,2.997879,2.997192
84899,58394,3.00,2.999062,2.997307
85924,58394,3.00,2.999023,2.997459
86949,58394,3.00,2.999023,2.997574
87973,58394,3.00,2.999176,2.997688
