ADCMAX: 131071
kP: 10000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
915,0,3.00,0.052376,0.001602
1936,29463,3.00,1.523869,0.049248
2957,43856,3.00,2.252253,0.119630
3979,51151,3.00,2.628575,0.201761
5001,54771,3.00,2.811148,0.289614
6023,55669,3.00,2.858031,0.378917
7044,56367,3.00,2.894500,0.469364
8065,56885,3.00,2.921317,0.560688
9085,57271,3.00,2.940925,0.652585
10107,57561,3.00,2.955955,0.744940
11129,57777,3.00,2.966560,0.837638
12152,57941,3.00,2.977165,0.930679
13175,57961,3.00,2.976211,1.023682
14197,57985,3.00,2.978347,1.116761
15221,58006,3.00,2.979683,1.209879
16245,58025,3.00,2.981666,1.303072
17269,58042,3.00,2.981399,1.396228
18292,58060,3.00,2.981743,1.489422
19316,58078,3.00,2.983001,1.582615
20340,58094,3.00,2.983001,1.675847
21365,58110,3.00,2.986053,1.769156
22389,58123,3.00,2.985786,1.862464
23414,58137,3.00,2.984947,1.955734
24436,58152,3.00,2.986435,2.049080
25460,58165,3.00,2.986702,2.142427
26485,58178,3.00,2.987427,2.235773
27510,58190,3.00,2.986702,2.329081
28535,58203,3.00,2.988762,2.422504
29560,58213,3.00,2.989830,2.515927
30584,58222,3.00,2.989067,2.609349
31610,58233,3.00,2.990326,2.702772
32635,58242,3.00,2.990555,2.796232
33660,58251,3.00,2.992348,2.888129
34685,58258,3.00,2.991814,2.933982
35712,58266,3.00,2.992653,2.957138
36736,58273,3.00,2.993416,2.968544
37760,58279,3.00,2.993950,2.974228
38785,58284,3.00,2.993454,2.978462
39809,58290,3.00,2.993874,2.981590
40833,58296,3.00,2.994102,2.983841
41859,58301,3.00,2.994904,2.985558
42884,58305,3.00,2.994408,2.986740
43909,58310,3.00,2.994102,2.987617
44933,58315,3.00,2.995438,2.988190
45958,58319,3.00,2.995819,2.988800
46984,58323,3.00,2.995934,2.989334
48010,58327,3.00,2.996086,2.989830
49033,58330,3.00,2.995285,2.990288
50059,58334,3.00,2.995895,2.990707
51083,58337,3.00,2.996582,2.991203
52108,58340,3.00,2.995857,2.991585
53132,58344,3.00,2.996429,2.992004
54156,58347,3.00,2.997154,2.992348
55181,58349,3.00,2.997154,2.992729
56207,58351,3.00,2.997574,2.993111
57230,58353,3.00,2.997536,2.993454
58255,58355,3.00,2.997536,2.993797
59281,58357,3.00,2.997498,2.994102
60306,58359,3.00,2.997612,2.994446
61332,58361,3.00,2.998032,2.994751
62356,58362,3.00,2.997612,2.994980
63381,58364,3.00,2.997688,2.995247
64406,58366,3.00,2.997803,2.995476
65431,58368,3.00,2.998070,2.995705
66457,58369,3.00,2.998604,2.995934
67482,58370,3.00,2.997803,2.996086
68507,58372,3.00,2.997955,2.996277
69533,58374,3.00,2.998528,2.996429
70559,58375,3.00,2.998909,2.996582
71585,58376,3.00,2.997917,2.996735
72610,58378,3.00,2.998604,2.996887
73634,58379,3.00,2.998871,2.997002
74660,58380,3.00,2.997955,2.997116
75685,58382,3.00,2.998375,2.997231
76709,58383,3.00,2.998070,2.997345
77734,58384,3.00,2.996925,2.997421
78757,58387,3.00,2.998566,2.997498
